,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,gas,Py,provided_data_type,in_reference_data_location,reference,url
19,1,8,1,2,0.0,,50.0,,,41.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,289.0,8.4,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
104,2,21,2,3,0.0,,1.2,0.38,0.27,624.0,,298.0,303000.0,103000.0,200000.0,4.0,0,,,0.0,289.0,16584.7164760642,permeance,fig 7,LI Y et al 2021,https://doi.org/10.1016/j.memsci.2021.119349
294,1,51,1,4,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,0,,,0.0,289.0,1740.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
295,1,52,1,4,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,0,,,0.0,289.0,4500.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
296,1,52,1,4,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,0,,,1200.0,289.0,2440.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
313,1,53,1,4,0.0,,125.4,,,759.0,2.14,298.0,,,100000.0,,0,,,2117.0,289.0,2418.0,permeability,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
345,1,51,1,4,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,0,,,4.006265,289.0,1794.516,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
346,1,51,1,4,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,0,,,118.6763,289.0,2088.031,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
347,1,51,1,4,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,0,,,248.4868,289.0,2171.911,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
348,1,52,1,4,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,0,,,7.004888,289.0,3792.69,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
349,1,52,1,4,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,0,,,63.15262,289.0,3269.442,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
350,1,52,1,4,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,0,,,346.8306,289.0,2612.795,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
351,1,54,1,4,0.0,,110.9054,,,759.0,2.14,298.0,,,100000.0,,0,,,2.793727,289.0,2967.348,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
352,1,54,1,4,0.0,,110.9054,,,759.0,2.14,298.0,,,100000.0,,0,,,27.56215,289.0,2726.003,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
353,1,54,1,4,0.0,,110.9054,,,759.0,2.14,298.0,,,100000.0,,0,,,186.2339,289.0,2436.925,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
354,1,55,1,4,0.0,,132.508,,,759.0,2.14,298.0,,,100000.0,,0,,,4.006265,289.0,2211.754,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
355,1,55,1,4,0.0,,132.508,,,759.0,2.14,298.0,,,100000.0,,0,,,29.09353,289.0,2171.911,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
356,1,55,1,4,0.0,,132.508,,,759.0,2.14,298.0,,,100000.0,,0,,,189.621,289.0,2038.03,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
722,1,90,6,8,0.0,,,,,,,303.0,,,100000.0,,340,,,0.0,289.0,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
726,3,91,6,18,5.0,,1.0,,,,,303.0,,,100000.0,,340,,,0.0,289.0,3.27067284536041,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
730,3,91,6,18,10.0,,,,,,,303.0,,,100000.0,,340,,,0.0,289.0,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
756,3,92,1,20,10.0,,15.0,0.394,,,2.01,298.0,,,100000.0,50.0,364,50.0,,0.0,289.0,432.8,permeability,table S3,LI W et al 2022,https://doi.org/10.1016/j.memsci.2021.120021
769,4,94,1,21,0.0,70.0,60.0,0.575,0.026,94.0,,303.0,10000.0,,,10.0,340,2.0,,0.0,289.0,5262.0,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
773,4,95,1,21,0.0,70.0,60.0,0.575,0.029,106.0,,303.0,10000.0,,,10.0,340,2.0,,0.0,289.0,3701.0,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
777,4,96,1,21,0.0,70.0,60.0,0.575,0.019,70.0,,303.0,10000.0,,,10.0,340,2.0,,0.0,289.0,2919.0,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
799,2,97,7,3,0.0,,3.0,0.372,,,5.7,303.0,200000.0,100000.0,100000.0,600.0,0,,,0.0,289.0,3508.3151687789,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
800,2,97,7,3,0.0,,3.0,0.372,,,5.7,323.0,200000.0,100000.0,100000.0,600.0,0,,,0.0,289.0,3527.87833816727,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
801,2,97,7,3,0.0,,3.0,0.372,,,5.7,353.0,200000.0,100000.0,100000.0,600.0,0,,,0.0,289.0,3729.61186258627,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
811,2,97,7,3,0.0,,3.0,0.372,,,5.7,303.0,600000.0,100000.0,500000.0,600.0,0,,,0.0,289.0,3040.04154100789,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
812,2,97,7,3,0.0,,3.0,0.372,,,5.7,323.0,600000.0,100000.0,500000.0,600.0,0,,,0.0,289.0,3143.18205627139,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
813,2,97,7,3,0.0,,3.0,0.372,,,5.7,353.0,600000.0,100000.0,500000.0,600.0,0,,,0.0,289.0,3213.87925404572,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
814,2,97,7,3,0.0,,3.0,0.372,,,5.7,303.0,400000.0,100000.0,300000.0,600.0,0,,,0.0,289.0,3015.95175359501,permeability,fig 8,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
821,2,97,7,3,0.0,,3.0,0.372,,,5.7,303.0,300000.0,100000.0,200000.0,600.0,0,,,0.0,289.0,3007.04840971593,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
822,2,97,7,3,0.0,,3.0,0.372,,,5.7,303.0,500000.0,100000.0,400000.0,600.0,0,,,0.0,289.0,3103.05667542417,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
