,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,gas,Py,provided_data_type,in_reference_data_location,reference,url
12,polymer,PI-0.25,none,polyimides,0.0,,50.0,0.815,,411.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,289.0,238.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
13,polymer,PI-0.50,none,polyimides,0.0,,50.0,1.085,,219.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,289.0,159.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
14,polymer,PI-0.75,none,polyimides,0.0,,50.0,1.085,,63.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,289.0,117.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
15,polymer,PI-1.00,none,polyimides,0.0,,50.0,1.085,,53.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,289.0,55.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
16,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,0.815,,367.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,289.0,201.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
17,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,1.085,,83.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,289.0,78.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
18,polymer,IPI-0.75,none,ionic copolyimides,0.0,,50.0,1.085,,56.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,289.0,30.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
19,polymer,IPI-1.00,none,ionic copolyimides,0.0,,50.0,1.085,,41.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,289.0,8.4,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
104,zeolite,O3at473K,alfa-alumina tubes,SSZ-13,0.0,,1.2,0.38,0.27,624.0,0.0,,298.0,303000.0,103000.0,200000.0,4.0,0,,,289.0,16584.7164760642,permeance,fig 7,LI Y et al 2021,https://doi.org/10.1016/j.memsci.2021.119349
294,polymer,untreated,none,PIM-1,0.0,,90.0,0.372,,685.0,0.0,2.14,298.0,,,100000.0,,0,,,289.0,1740.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
295,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.58,,759.0,0.0,2.14,298.0,,,100000.0,,0,,,289.0,4500.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
296,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.372,,759.0,1200.0,2.14,298.0,,,100000.0,,0,,,289.0,2440.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
